"Metabolite","type","Estimate_Age","p_value_Age","Estimate_Sex","p_value_Sex","Estimate_Metabolite","Std_Error_Metabolite","df_Metabolite","p_value_Metabolite","Singular_fit_Metabolite","FDR_Metabolite","Compound.Name","CASNumber","Number.Passed","Retention.Time","Measured.Retention.Time","Product.Mass","QualifierMass"
"M.1","Chol_T_HDL",-0.0046,0.5016,-0.3347,0.02801,-0.0017,0.0013,69.08,0.1912,"FALSE",0.9457531,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.10","SBP",0.0535,0.6851,-2.8903,0.3049,-0.0053,0.021,61,0.8021,"TRUE",0.9851732,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","DBP",-0.0175,0.8266,-0.8817,0.6032,-0.008,0.0127,61,0.5326,"TRUE",0.9759918,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","Insulin",-0.0227,0.7222,-0.4348,0.7496,0.0033,0.0102,75,0.7483,"TRUE",0.976862,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","Chol_T",-0.3347,0.2203,-4.1236,0.4745,0.0653,0.0402,75.46,0.1083,"FALSE",0.9457531,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","TG",-0.2441,0.6412,-15.6648,0.162,-0.0454,0.0835,76,0.5878,"TRUE",0.9759918,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","LDL",-0.2834,0.1753,-3.4213,0.4396,0.0673,0.0331,76,0.04561,"TRUE",0.9337687,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","HDL",0.0076,0.9244,2.6593,0.1203,0.013,0.0127,76,0.3114,"TRUE",0.9457531,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","CRP",5e-04,0.9809,-0.2469,0.5685,-4e-04,0.0032,75,0.8962,"TRUE",0.9962474,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","ApoB",-0.1342,0.41,-3.5044,0.3136,0.0226,0.023,74.97,0.3289,"FALSE",0.9457531,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","HDL_LDL",9e-04,0.4096,0.0333,0.1461,-1e-04,2e-04,74.01,0.4474,"FALSE",0.9457531,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.10","Chol_T_HDL",-0.0049,0.468,-0.2959,0.04595,3e-04,0.0011,73.59,0.7951,"FALSE",0.9851732,"C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.100","SBP",0.0647,0.6227,-2.1436,0.4512,0.0276,0.0273,61,0.3163,"TRUE",0.9457531,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","DBP",-0.0161,0.8405,-0.604,0.7274,0.0062,0.0167,61,0.7126,"TRUE",0.9759918,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","Insulin",-0.0185,0.774,-0.3537,0.7975,0.0063,0.0135,75,0.6438,"TRUE",0.9759918,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","Chol_T",-0.2843,0.3195,-3.4257,0.5732,0.0726,0.0528,75.07,0.1737,"FALSE",0.9457531,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","TG",-0.2578,0.6254,-15.392,0.1752,-0.0053,0.1106,76,0.9619,"TRUE",0.9996524,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","LDL",-0.2501,0.2445,-3.4224,0.4553,0.032,0.0448,76,0.4781,"TRUE",0.9482254,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","HDL",0.0276,0.7319,3.0859,0.07921,0.0316,0.0166,75.35,0.061,"FALSE",0.9457531,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","CRP",0,0.9992,-0.2548,0.5613,-7e-04,0.0043,75,0.8784,"TRUE",0.9923888,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","ApoB",-0.1243,0.4543,-3.5126,0.3247,0.0095,0.0303,73.5,0.7552,"FALSE",0.9775621,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","HDL_LDL",0.001,0.3568,0.0376,0.0955,2e-04,2e-04,75.06,0.3382,"FALSE",0.9457531,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.100","Chol_T_HDL",-0.0056,0.4058,-0.3214,0.03073,-0.0014,0.0014,75.4,0.3169,"FALSE",0.9457531,"C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.101","SBP",0.0392,0.7707,-2.7256,0.3295,0.0106,0.0219,61,0.6303,"TRUE",0.9759918,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","DBP",-0.0203,0.804,-0.7432,0.6603,0.0011,0.0133,61,0.9325,"TRUE",0.9996524,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","Insulin",-0.0227,0.7276,-0.4575,0.7374,5e-04,0.0104,75,0.9587,"TRUE",0.9996524,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","Chol_T",-0.255,0.3573,-5.283,0.3646,-0.0566,0.0397,65.33,0.1592,"FALSE",0.9457531,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","TG",-0.3962,0.4521,-13.9017,0.2094,0.1234,0.0841,76,0.1466,"TRUE",0.9457531,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","LDL",-0.1857,0.3797,-4.7686,0.2822,-0.0714,0.0337,76,0.03745,"TRUE",0.9337687,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","HDL",0.0286,0.7237,2.3777,0.1638,-0.0157,0.013,76,0.2293,"TRUE",0.9457531,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","CRP",-0.0044,0.8312,-0.2021,0.6377,0.004,0.0033,75,0.2242,"TRUE",0.9457531,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","ApoB",-0.0912,0.5701,-4.0092,0.2389,-0.0311,0.0224,64.03,0.1702,"FALSE",0.9457531,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","HDL_LDL",7e-04,0.4974,0.0355,0.1157,1e-04,2e-04,71,0.4994,"FALSE",0.9581558,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.101","Chol_T_HDL",-0.0052,0.4511,-0.2947,0.04711,3e-04,0.0011,70.6,0.7861,"FALSE",0.9847347,"C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.102","SBP",0.0691,0.6015,-2.4114,0.3903,0.0192,0.0208,61,0.3594,"TRUE",0.9457531,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","DBP",5e-04,0.9949,-0.2922,0.8605,0.0225,0.0124,61,0.07378,"TRUE",0.9457531,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","Insulin",-0.0011,0.9855,0.0304,0.9817,0.0236,0.0099,75,0.01992,"TRUE",0.9337687,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","Chol_T",-0.2649,0.3394,-3.3085,0.5739,0.0588,0.0407,74.88,0.1524,"FALSE",0.9457531,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","TG",-0.1942,0.7133,-13.8629,0.2201,0.0639,0.0837,76,0.4477,"TRUE",0.9457531,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","LDL",-0.2364,0.2721,-3.2208,0.4813,0.0326,0.034,76,0.3396,"TRUE",0.9457531,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","HDL",0.0274,0.733,2.9534,0.08715,0.0176,0.0127,76,0.1701,"TRUE",0.9457531,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","CRP",-0.0037,0.8553,-0.3397,0.4318,-0.0046,0.0032,75,0.1566,"TRUE",0.9457531,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","ApoB",-0.1025,0.5324,-3.0305,0.3879,0.0309,0.0233,74.99,0.1894,"FALSE",0.9457531,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","HDL_LDL",9e-04,0.3848,0.0361,0.1165,1e-04,2e-04,72.1,0.6141,"FALSE",0.9759918,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.102","Chol_T_HDL",-0.0053,0.4402,-0.3085,0.04012,-5e-04,0.0011,72.21,0.6653,"FALSE",0.9759918,"C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.103","SBP",0.0492,0.7108,-3.0201,0.3021,0.0077,0.0304,61,0.8019,"TRUE",0.9851732,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","DBP",-0.0185,0.8178,-0.7305,0.6793,-7e-04,0.0184,61,0.9679,"TRUE",0.9996524,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","Insulin",-0.0122,0.8505,-0.1345,0.9239,-0.0119,0.0141,75,0.3996,"TRUE",0.9457531,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","Chol_T",-0.0994,0.6925,2.7548,0.6123,-0.2703,0.0463,72.2,1.412e-07,"FALSE",0.0006461,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","TG",-0.0868,0.868,-9.6943,0.394,-0.2041,0.1139,76,0.0772,"TRUE",0.9457531,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","LDL",-0.1117,0.5624,1.2386,0.7675,-0.1891,0.0421,76,2.451e-05,"TRUE",0.0218243,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","HDL",0.0423,0.6188,3.6295,0.05455,-0.0389,0.0174,75.83,0.02786,"FALSE",0.9337687,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","CRP",0.0055,0.7861,-0.0721,0.8709,-0.0062,0.0044,75,0.165,"TRUE",0.9457531,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","ApoB",-0.0216,0.8833,-0.14,0.965,-0.1285,0.0279,72.73,1.756e-05,"FALSE",0.0216426,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","HDL_LDL",5e-04,0.6394,0.0219,0.3272,4e-04,2e-04,75.6,0.04784,"FALSE",0.9337687,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.103","Chol_T_HDL",-0.0023,0.7296,-0.2108,0.1391,-0.0032,0.0014,76,0.02865,"TRUE",0.9337687,"PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.104","SBP",0.0747,0.5755,-1.8764,0.5247,0.0196,0.0213,61,0.3611,"TRUE",0.9457531,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","DBP",-0.0113,0.8888,-0.4366,0.8076,0.0067,0.013,61,0.6096,"TRUE",0.9759918,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","Insulin",-0.0149,0.8208,-0.2076,0.8874,0.005,0.0108,75,0.6427,"TRUE",0.9759918,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","Chol_T",-0.2104,0.459,-0.5498,0.93,0.0808,0.0415,72.16,0.05526,"FALSE",0.9400567,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","TG",-0.2852,0.5971,-16.3851,0.175,-0.0214,0.089,76,0.8107,"TRUE",0.9851732,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","LDL",-0.1735,0.4197,-0.6025,0.8997,0.0663,0.0354,76,0.06489,"TRUE",0.9457531,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","HDL",0.0321,0.6956,3.3213,0.07206,0.0151,0.0135,76,0.2672,"TRUE",0.9457531,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","CRP",-4e-04,0.985,-0.2714,0.5605,-6e-04,0.0034,75,0.8722,"TRUE",0.9922331,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","ApoB",-0.1248,0.4568,-3.5123,0.3438,0.0034,0.024,70.81,0.8893,"FALSE",0.9955923,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","HDL_LDL",7e-04,0.5027,0.0299,0.2185,-1e-04,2e-04,75.66,0.6255,"FALSE",0.9759918,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.104","Chol_T_HDL",-0.0041,0.5625,-0.2684,0.08929,6e-04,0.0011,75.7,0.6023,"FALSE",0.9759918,"Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.105","SBP",0.0011,0.9933,-3.318,0.232,-0.032,0.0219,61,0.1484,"TRUE",0.9457531,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","DBP",-0.041,0.6174,-0.9734,0.5643,-0.0138,0.0134,61,0.3053,"TRUE",0.9457531,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","Insulin",-0.0259,0.694,-0.4867,0.7211,-0.0026,0.0108,75,0.8085,"TRUE",0.9851732,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","Chol_T",-0.273,0.345,-4.3854,0.4638,0.0331,0.0433,75.44,0.4473,"FALSE",0.9457531,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","TG",-0.3413,0.5265,-15.7921,0.1583,-0.0595,0.0881,76,0.5018,"TRUE",0.9581558,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","LDL",-0.2274,0.3002,-3.7306,0.4103,0.0276,0.0358,76,0.4439,"TRUE",0.9457531,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","HDL",0.0307,0.7092,2.6693,0.119,0.0138,0.0135,76,0.3094,"TRUE",0.9457531,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","CRP",-0.0045,0.8292,-0.273,0.5262,-0.0033,0.0034,75,0.336,"TRUE",0.9457531,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","ApoB",-0.1465,0.384,-3.7739,0.2825,-0.0116,0.0246,74.95,0.6396,"FALSE",0.9759918,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","HDL_LDL",8e-04,0.4358,0.0342,0.1328,0,2e-04,72.05,0.9954,"FALSE",0.9996524,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.105","Chol_T_HDL",-0.0065,0.3392,-0.3073,0.03397,-0.0011,0.0011,70.75,0.303,"FALSE",0.9457531,"PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.106","SBP",0.0448,0.7353,-2.9244,0.2965,0.0095,0.0186,61,0.6097,"TRUE",0.9759918,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","DBP",-0.0171,0.8316,-0.7246,0.6688,-0.0021,0.0113,61,0.8511,"TRUE",0.987161,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","Insulin",-0.0255,0.6894,-0.4969,0.7138,0.0071,0.0085,75,0.4056,"TRUE",0.9457531,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","Chol_T",-0.3514,0.1999,-5.0162,0.3857,0.0643,0.0322,68.37,0.04969,"FALSE",0.9337687,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","TG",-0.1995,0.6999,-14.713,0.1821,-0.1074,0.0688,76,0.1223,"TRUE",0.9457531,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","LDL",-0.3023,0.1444,-4.3285,0.3223,0.0676,0.0273,76,0.01567,"TRUE",0.825245,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","HDL",-1e-04,0.9988,2.4412,0.15,0.0209,0.0104,73.85,0.04891,"FALSE",0.9337687,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","CRP",-1e-04,0.9977,-0.2478,0.5664,9e-04,0.0027,75,0.7313,"TRUE",0.9759918,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","ApoB",-0.1483,0.368,-3.8749,0.2704,0.045,0.0176,64.53,0.01273,"FALSE",0.7724465,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","HDL_LDL",9e-04,0.419,0.0343,0.1303,0,1e-04,72.87,0.9422,"FALSE",0.9996524,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.106","Chol_T_HDL",-0.0049,0.4746,-0.2979,0.04396,0,9e-04,72.91,0.9831,"FALSE",0.9996524,"C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.107","SBP",0.0496,0.7097,-2.8057,0.3156,-0.0038,0.0233,61,0.8717,"TRUE",0.9922331,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","DBP",-0.0271,0.7359,-0.7567,0.6526,-0.0104,0.0141,61,0.4618,"TRUE",0.9457531,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","Insulin",-0.02,0.7585,-0.4594,0.7356,0.0018,0.0109,75,0.8689,"TRUE",0.9922331,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","Chol_T",-0.3449,0.2303,-4.6955,0.4329,-0.0203,0.0431,75.6,0.6387,"FALSE",0.9759918,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","TG",-0.3071,0.5652,-15.4251,0.1679,-0.0451,0.089,76,0.6133,"TRUE",0.9759918,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","LDL",-0.2969,0.1733,-4.0258,0.3738,-0.0254,0.0361,76,0.484,"TRUE",0.9522145,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","HDL",0.0334,0.6867,2.6095,0.1359,0.0198,0.0135,75.46,0.1458,"FALSE",0.9457531,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","CRP",-0.0077,0.7007,-0.2576,0.5392,-0.0072,0.0033,75,0.03477,"TRUE",0.9337687,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","ApoB",-0.1607,0.3411,-3.7476,0.2909,-0.0264,0.0242,73.48,0.2774,"FALSE",0.9457531,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","HDL_LDL",0.0012,0.2899,0.035,0.1268,3e-04,2e-04,75.91,0.1346,"FALSE",0.9457531,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.107","Chol_T_HDL",-0.0063,0.3719,-0.3013,0.04487,-0.0012,0.0011,75.88,0.2856,"FALSE",0.9457531,"C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.11","SBP",0.0514,0.6999,-2.8081,0.3154,0.0022,0.0356,61,0.9505,"TRUE",0.9996524,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","DBP",-0.0248,0.7583,-0.773,0.6465,0.0111,0.0215,61,0.6065,"TRUE",0.9759918,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","Insulin",0.0032,0.9587,-0.6226,0.6347,-0.0409,0.0165,75,0.01578,"TRUE",0.825245,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","Chol_T",-0.3091,0.2779,-4.7199,0.4292,-0.0195,0.0688,75.99,0.7772,"FALSE",0.9802088,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","TG",-0.3927,0.4531,-14.3841,0.1918,0.2253,0.1391,76,0.1094,"TRUE",0.9457531,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","LDL",-0.2476,0.2531,-4.0896,0.3674,-0.0325,0.0574,76,0.5737,"TRUE",0.9759918,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","HDL",0.0324,0.6878,2.4113,0.1587,-0.0355,0.0213,73.89,0.09982,"FALSE",0.9457531,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","CRP",0.0011,0.9558,-0.248,0.5665,-0.0012,0.0055,75,0.8259,"TRUE",0.9851732,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","ApoB",-0.1229,0.4598,-3.7237,0.2901,-0.0106,0.0389,74.55,0.7869,"FALSE",0.9851113,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","HDL_LDL",0.001,0.328,0.033,0.1431,-3e-04,3e-04,74.72,0.2598,"FALSE",0.9457531,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.11","Chol_T_HDL",-0.0057,0.4088,-0.2927,0.04772,0.0013,0.0018,74.8,0.4605,"FALSE",0.9457531,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.13","SBP",0.059,0.6575,-2.7949,0.317,0.0083,0.0224,61,0.7127,"TRUE",0.9759918,"C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
"M.13","DBP",-0.0081,0.9191,-0.7365,0.6599,0.0139,0.0134,61,0.3037,"TRUE",0.9457531,"C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
"M.13","Insulin",-0.0228,0.7241,-0.4609,0.7348,-9e-04,0.0111,75,0.933,"TRUE",0.9996524,"C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
"M.13","Chol_T",-0.3903,0.1575,-4.3032,0.4562,-0.0941,0.0425,75.71,0.03,"FALSE",0.9337687,"C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
"M.13","TG",-0.3065,0.5608,-15.06,0.1772,-0.0696,0.0902,76,0.443,"TRUE",0.9457531,"C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
"M.13","LDL",-0.3085,0.148,-3.7638,0.4001,-0.0553,0.0363,76,0.1317,"TRUE",0.9457531,"C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
"M.13","HDL",-0.0112,0.8937,2.6608,0.1381,-0.0288,0.0136,75.98,0.0374,"FALSE",0.9337687,"C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
"M.13","CRP",-0.0011,0.9563,-0.2389,0.5797,-0.0019,0.0035,75,0.5859,"TRUE",0.9759918,"C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
"M.13","ApoB",-0.1447,0.3768,-3.6321,0.2952,-0.0203,0.0248,73.9,0.4168,"FALSE",0.9457531,"C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
